period_end,metric,value,unit
2025-06-30,revenue,3792.0,USD_M
2024-06-30,revenue,3552.0,USD_M
2023-06-30,revenue,2860.0,USD_M
2022-06-30,revenue,3647.0,USD_M
2021-06-30,revenue,4114.0,USD_M
2020-06-30,revenue,2928.0,USD_M
2019-06-30,revenue,1969.0,USD_M
2018-06-30,revenue,2719.0,USD_M
2017-06-30,revenue,2128.0,USD_M
2016-06-30,revenue,1287.0,USD_M
2015-06-30,revenue,1277.0,USD_M
2015-03-31,revenue,1525.0,USD_M
2014-12-31,revenue,1204.0,USD_M
2014-09-30,revenue,1324.0,USD_M
2014-06-30,revenue,1483.0,USD_M
2014-03-31,revenue,2144.0,USD_M
2013-12-31,revenue,1347.0,USD_M
2013-09-30,revenue,1547.0,USD_M
2013-06-30,revenue,1045.0,USD_M
2012-06-30,revenue,1677.0,USD_M
2011-06-30,revenue,1883.0,USD_M
2025-06-30,operating_income,998.0,USD_M
2024-06-30,operating_income,1061.0,USD_M
2023-06-30,operating_income,602.0,USD_M
2022-06-30,operating_income,905.0,USD_M
2021-06-30,operating_income,1290.0,USD_M
2020-06-30,operating_income,687.0,USD_M
2019-06-30,operating_income,387.0,USD_M
2018-06-30,operating_income,666.0,USD_M
2017-06-30,operating_income,493.0,USD_M
2016-06-30,operating_income,192.0,USD_M
2015-06-30,operating_income,248.0,USD_M
2015-03-31,operating_income,1525.0,USD_M
2014-12-31,operating_income,1204.0,USD_M
2014-09-30,operating_income,1324.0,USD_M
2014-06-30,operating_income,167.0,USD_M
2014-03-31,operating_income,2144.0,USD_M
2013-12-31,operating_income,1347.0,USD_M
2013-09-30,operating_income,1547.0,USD_M
2013-06-30,operating_income,-97.0,USD_M
2012-06-30,operating_income,116.0,USD_M
2011-06-30,operating_income,284.0,USD_M
